Id 	 gr 	 gf 	 gl 	 r 	 prop phase 1 	 prop phase 2 	 prop phase 3 
phaseproportion_mechadapt99_	2.0	0.0	50.0	0.43125	0.9230769230769231	0.0	0.07692307692307693
phaseproportion_mechadapt46_	2.0	0.0	50.0	0.6875	0.49230769230769234	0.24615384615384617	0.26153846153846155
phaseproportion_mechadapt136_	2.0	0.0	50.0	1.546875	0.13846153846153847	0.7461538461538462	0.11538461538461539
phaseproportion_mechadapt90_	2.0	0.0	50.0	0.9437500000000001	0.35384615384615387	0.36153846153846153	0.2846153846153846
phaseproportion_mechadapt156_	2.0	0.0	50.0	2.671875	0.0	0.9923076923076923	0.007692307692307693
phaseproportion_mechadapt157_	2.0	0.0	50.0	2.171875	0.0	0.9615384615384616	0.038461538461538464
phaseproportion_mechadapt39_	2.0	0.0	50.0	0.3375	1.0	0.0	0.0
phaseproportion_mechadapt210_	2.0	0.0	50.0	3.453125	0.0	1.0	0.0
phaseproportion_mechadapt108_	2.0	0.0	50.0	0.48125	0.7923076923076923	0.046153846153846156	0.16153846153846155
phaseproportion_mechadapt211_	2.0	0.0	50.0	4.453125	0.0	1.0	0.0
phaseproportion_mechadapt49_	2.0	0.0	50.0	0.6625000000000001	0.5076923076923077	0.24615384615384617	0.24615384615384617
phaseproportion_mechadapt88_	2.0	0.0	50.0	0.34375	1.0	0.0	0.0
phaseproportion_mechadapt24_	2.0	0.0	50.0	0.325	1.0	0.0	0.0
phaseproportion_mechadapt226_	2.0	0.0	50.0	3.140625	0.0	1.0	0.0
phaseproportion_mechadapt230_	2.0	0.0	50.0	4.640625	0.0	1.0	0.0
phaseproportion_mechadapt170_	2.0	0.0	50.0	3.984375	0.0	1.0	0.0
phaseproportion_mechadapt160_	2.0	0.0	50.0	1.171875	0.25384615384615383	0.5230769230769231	0.2230769230769231
phaseproportion_mechadapt119_	2.0	0.0	50.0	0.35625	1.0	0.0	0.0
phaseproportion_mechadapt34_	2.0	0.0	50.0	0.8375000000000001	0.4153846153846154	0.3	0.2846153846153846
phaseproportion_mechadapt216_	2.0	0.0	50.0	1.953125	0.015384615384615385	0.9307692307692308	0.05384615384615385
phaseproportion_mechadapt153_	2.0	0.0	50.0	1.671875	0.09230769230769231	0.8153846153846154	0.09230769230769231
phaseproportion_mechadapt41_	2.0	0.0	50.0	0.7875000000000001	0.4230769230769231	0.3	0.27692307692307694
phaseproportion_mechadapt100_	2.0	0.0	50.0	0.53125	0.6846153846153846	0.12307692307692308	0.19230769230769232
phaseproportion_mechadapt241_	2.0	0.0	50.0	1.265625	0.2230769230769231	0.6	0.17692307692307693
phaseproportion_mechadapt110_	2.0	0.0	50.0	0.68125	0.49230769230769234	0.25384615384615383	0.25384615384615383
phaseproportion_mechadapt193_	2.0	0.0	50.0	1.078125	0.2923076923076923	0.46923076923076923	0.23846153846153847
phaseproportion_mechadapt12_	2.0	0.0	50.0	0.45	0.8769230769230769	0.0	0.12307692307692308
phaseproportion_mechadapt227_	2.0	0.0	50.0	4.140625	0.0	1.0	0.0
phaseproportion_mechadapt180_	2.0	0.0	50.0	2.359375	0.0	0.9769230769230769	0.023076923076923078
phaseproportion_mechadapt208_	2.0	0.0	50.0	1.328125	0.2	0.6307692307692307	0.16923076923076924
phaseproportion_mechadapt203_	2.0	0.0	50.0	4.828125	0.0	1.0	0.0
phaseproportion_mechadapt112_	2.0	0.0	50.0	0.25625000000000003	1.0	0.0	0.0
phaseproportion_mechadapt18_	2.0	0.0	50.0	0.875	0.3923076923076923	0.3153846153846154	0.2923076923076923
phaseproportion_mechadapt120_	2.0	0.0	50.0	0.30625	1.0	0.0	0.0
phaseproportion_mechadapt207_	2.0	0.0	50.0	3.328125	0.0	1.0	0.0
phaseproportion_mechadapt190_	2.0	0.0	50.0	4.109375	0.0	1.0	0.0
phaseproportion_mechadapt105_	2.0	0.0	50.0	0.78125	0.4461538461538462	0.27692307692307694	0.27692307692307694
phaseproportion_mechadapt246_	2.0	0.0	50.0	4.765625	0.0	1.0	0.0
phaseproportion_mechadapt171_	2.0	0.0	50.0	4.984375	0.0	1.0	0.0
phaseproportion_mechadapt29_	2.0	0.0	50.0	0.825	0.4230769230769231	0.2923076923076923	0.2846153846153846
phaseproportion_mechadapt81_	2.0	0.0	50.0	0.6937500000000001	0.49230769230769234	0.24615384615384617	0.26153846153846155
phaseproportion_mechadapt201_	2.0	0.0	50.0	1.828125	0.06923076923076923	0.8538461538461538	0.07692307692307693
phaseproportion_mechadapt195_	2.0	0.0	50.0	4.078125	0.0	1.0	0.0
phaseproportion_mechadapt77_	2.0	0.0	50.0	0.8687500000000001	0.4	0.3076923076923077	0.2923076923076923
phaseproportion_mechadapt212_	2.0	0.0	50.0	2.453125	0.0	0.9769230769230769	0.023076923076923078
phaseproportion_mechadapt20_	2.0	0.0	50.0	0.575	0.6	0.19230769230769232	0.2076923076923077
phaseproportion_mechadapt50_	2.0	0.0	50.0	0.8625	0.4	0.3076923076923077	0.2923076923076923
phaseproportion_mechadapt109_	2.0	0.0	50.0	0.8812500000000001	0.3923076923076923	0.3153846153846154	0.2923076923076923
phaseproportion_mechadapt187_	2.0	0.0	50.0	4.609375	0.0	1.0	0.0
phaseproportion_mechadapt225_	2.0	0.0	50.0	1.140625	0.27692307692307694	0.5	0.2230769230769231
phaseproportion_mechadapt149_	2.0	0.0	50.0	2.921875	0.0	0.9923076923076923	0.007692307692307693
phaseproportion_mechadapt172_	2.0	0.0	50.0	2.984375	0.0	0.9923076923076923	0.007692307692307693
phaseproportion_mechadapt176_	2.0	0.0	50.0	1.484375	0.15384615384615385	0.7230769230769231	0.12307692307692308
phaseproportion_mechadapt194_	2.0	0.0	50.0	3.078125	0.0	1.0	0.0
phaseproportion_mechadapt255_	2.0	0.0	50.0	3.015625	0.0	0.9923076923076923	0.007692307692307693
phaseproportion_mechadapt64_	2.0	0.0	50.0	0.21875	1.0	0.0	0.0
phaseproportion_mechadapt17_	2.0	0.0	50.0	0.675	0.5	0.25384615384615383	0.24615384615384617
phaseproportion_mechadapt186_	2.0	0.0	50.0	3.609375	0.0	1.0	0.0
phaseproportion_mechadapt96_	2.0	0.0	50.0	0.23125	1.0	0.0	0.0
phaseproportion_mechadapt191_	2.0	0.0	50.0	3.109375	0.0	1.0	0.0
phaseproportion_mechadapt139_	2.0	0.0	50.0	4.796875	0.0	1.0	0.0
phaseproportion_mechadapt147_	2.0	0.0	50.0	4.421875	0.0	1.0	0.0
phaseproportion_mechadapt148_	2.0	0.0	50.0	2.421875	0.0	0.9769230769230769	0.023076923076923078
phaseproportion_mechadapt204_	2.0	0.0	50.0	2.828125	0.0	0.9923076923076923	0.007692307692307693
phaseproportion_mechadapt59_	2.0	0.0	50.0	0.5125	0.7307692307692307	0.09230769230769231	0.17692307692307693
phaseproportion_mechadapt102_	2.0	0.0	50.0	0.73125	0.46153846153846156	0.26153846153846155	0.27692307692307694
phaseproportion_mechadapt94_	2.0	0.0	50.0	0.64375	0.5153846153846153	0.25384615384615383	0.23076923076923078
phaseproportion_mechadapt71_	2.0	0.0	50.0	0.31875000000000003	1.0	0.0	0.0
phaseproportion_mechadapt113_	2.0	0.0	50.0	0.65625	0.5076923076923077	0.25384615384615383	0.23846153846153847
phaseproportion_mechadapt199_	2.0	0.0	50.0	3.578125	0.0	1.0	0.0
phaseproportion_mechadapt4_	2.0	0.0	50.0	0.5	0.7692307692307693	0.06923076923076923	0.16153846153846155
phaseproportion_mechadapt161_	2.0	0.0	50.0	1.234375	0.23076923076923078	0.5846153846153846	0.18461538461538463
phaseproportion_mechadapt103_	2.0	0.0	50.0	0.33125000000000004	1.0	0.0	0.0
